code,day,sport,venue,zone,type,starts_at,ends_at,timezone,duration_minutes,ticketed,in_okc,num_events
ATH17,10,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,Final,2028-07-24T16:35:00,2028-07-24T18:25:00,America/Los_Angeles,110,True,False,6
VBV30,10,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Preliminary,2028-07-24T17:00:00,2028-07-24T19:00:00,America/Los_Angeles,120,True,False,1
HOC24,10,Hockey,Carson Field,Carson,Quarterfinal,2028-07-24T17:00:00,2028-07-24T22:00:00,America/Los_Angeles,300,True,False,1
TTE27,10,Table Tennis,LA Convention Center Hall 3,DTLA,Preliminary,2028-07-24T17:00:00,2028-07-24T22:00:00,America/Los_Angeles,300,True,False,1
VVO39,10,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-24T17:00:00,2028-07-24T19:30:00,America/Los_Angeles,150,True,False,1
CKT20,10,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-24T18:00:00,2028-07-24T21:30:00,America/Los_Angeles,210,True,False,1
SWM06,10,Swimming,2028 Stadium,Inglewood,Final,2028-07-24T18:00:00,2028-07-24T20:00:00,America/Los_Angeles,120,True,False,8
TEN30,10,Tennis,Carson Center Court,Carson,Quarterfinal,2028-07-24T18:30:00,2028-07-24T23:30:00,America/Los_Angeles,300,True,False,1
LAC02,10,Lacrosse,Exposition Park Stadium,Exposition Park,Preliminary,2028-07-24T19:00:00,2028-07-24T22:00:00,America/Los_Angeles,180,True,False,1
WRE02,10,Wrestling,LA Convention Center Hall 2,DTLA,Semifinal,2028-07-24T19:00:00,2028-07-24T20:00:00,America/Los_Angeles,60,True,False,3
ARC09,10,Archery,Carson Stadium,Carson,Final,2028-07-24T19:30:00,2028-07-24T23:10:00,America/Los_Angeles,220,True,False,4
HBL38,10,Handball,Long Beach Arena,Long Beach,Quarterfinal,2028-07-24T19:30:00,2028-07-24T21:30:00,America/Los_Angeles,120,True,False,1
BSB18,10,Softball,OKC Softball Park,OKC,Preliminary,2028-07-24T20:00:00,2028-07-24T22:30:00,America/Chicago,150,True,True,1
BKB33,10,Basketball,Inglewood Dome,Inglewood,Quarterfinal,2028-07-24T20:00:00,2028-07-24T22:00:00,America/Los_Angeles,120,True,False,1
BDM26,10,Badminton,Galen Center,Exposition Park,Final,2028-07-24T20:30:00,2028-07-24T23:15:00,America/Los_Angeles,165,True,False,2
FBL52,10,Football (Soccer) - Final Stages,Rose Bowl Stadium,Pasadena,Semifinal,2028-07-24T20:30:00,2028-07-24T23:30:00,America/Los_Angeles,180,True,False,1
SQU10,10,Squash,Comcast Squash Center at Universal Studios,Universal City,Final,2028-07-24T20:30:00,2028-07-24T23:30:00,America/Los_Angeles,180,True,False,2
VBV31,10,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Preliminary,2028-07-24T21:00:00,2028-07-24T23:00:00,America/Los_Angeles,120,True,False,1
VVO40,10,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-24T21:00:00,2028-07-24T23:30:00,America/Los_Angeles,150,True,False,1
BSB19,11,Softball,OKC Softball Park,OKC,Preliminary,2028-07-25T09:00:00,2028-07-25T11:30:00,America/Chicago,150,True,True,1
CSP01,11,Canoe Sprint,Marine Stadium,Long Beach,Quarterfinal,2028-07-25T09:00:00,2028-07-25T12:30:00,America/Los_Angeles,210,True,False,8
CKT21,11,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-25T09:00:00,2028-07-25T12:30:00,America/Los_Angeles,210,True,False,1
CTR01,11,Cycling Track,Carson Velodrome,Carson,Preliminary,2028-07-25T09:00:00,2028-07-25T10:00:00,America/Los_Angeles,60,True,False,2
EQU13,11,Equestrian,Santa Anita Park,Arcadia,Preliminary,2028-07-25T09:00:00,2028-07-25T12:00:00,America/Los_Angeles,180,True,False,1
HOC25,11,Hockey,Carson Field,Carson,Quarterfinal,2028-07-25T09:00:00,2028-07-25T14:00:00,America/Los_Angeles,300,True,False,1
VVO41,11,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-25T09:00:00,2028-07-25T11:30:00,America/Los_Angeles,150,True,False,1
CLB03,11,Sport Climbing,Long Beach Climbing Theater,Long Beach,Semifinal,2028-07-25T09:15:00,2028-07-25T11:25:00,America/Los_Angeles,130,True,False,1
ARC10,11,Archery,Carson Stadium,Carson,Preliminary,2028-07-25T09:30:00,2028-07-25T12:35:00,America/Los_Angeles,185,True,False,2
HBL39,11,Handball,Long Beach Arena,Long Beach,Semifinal,2028-07-25T09:30:00,2028-07-25T11:30:00,America/Los_Angeles,120,True,False,1
SWM07,11,Swimming,2028 Stadium,Inglewood,Preliminary,2028-07-25T09:30:00,2028-07-25T11:30:00,America/Los_Angeles,120,True,False,4
RCB03,11,Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,Preliminary,2028-07-25T10:00:00,2028-07-25T11:50:00,America/Los_Angeles,110,True,False,3
TTE28,11,Table Tennis,LA Convention Center Hall 3,DTLA,Preliminary,2028-07-25T10:00:00,2028-07-25T15:00:00,America/Los_Angeles,300,True,False,1
SKB05,11,Skateboarding (Park),Valley Complex 2,Valley,Preliminary,2028-07-25T10:30:00,2028-07-25T13:30:00,America/Los_Angeles,180,True,False,1
SWA01,11,Artistic Swimming,Long Beach Aquatics Center,Long Beach,Preliminary,2028-07-25T11:00:00,2028-07-25T13:00:00,America/Los_Angeles,120,True,False,1
TEN31,11,Tennis,Carson Center Court,Carson,Semifinal,2028-07-25T11:00:00,2028-07-25T16:30:00,America/Los_Angeles,330,True,False,2
TEN32,11,Tennis,Carson Court 1,Carson,Semifinal,2028-07-25T11:00:00,2028-07-25T20:00:00,America/Los_Angeles,540,True,False,3
TEN33,11,Tennis,Carson Court 2,Carson,Semifinal,2028-07-25T11:00:00,2028-07-25T20:00:00,America/Los_Angeles,540,True,False,3
TEN34,11,Tennis,Carson Courts 3-11,Carson,Quarterfinal,2028-07-25T11:00:00,2028-07-25T20:00:00,America/Los_Angeles,540,True,False,1
WRE03,11,Wrestling,LA Convention Center Hall 2,DTLA,Quarterfinal,2028-07-25T11:00:00,2028-07-25T13:30:00,America/Los_Angeles,150,True,False,9
DIV13,11,Diving,Rose Bowl Aquatics Center,Pasadena,Final,2028-07-25T11:30:00,2028-07-25T12:30:00,America/Los_Angeles,60,True,False,1
CTR02,11,Cycling Track,Carson Velodrome,Carson,Final,2028-07-25T12:00:00,2028-07-25T15:00:00,America/Los_Angeles,180,True,False,5
LAC03,11,Lacrosse,Exposition Park Stadium,Exposition Park,Preliminary,2028-07-25T12:00:00,2028-07-25T15:00:00,America/Los_Angeles,180,True,False,1
BKB34,11,Basketball,Inglewood Dome,Inglewood,Quarterfinal,2028-07-25T13:00:00,2028-07-25T15:00:00,America/Los_Angeles,120,True,False,1
VBV32,11,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Quarterfinal,2028-07-25T13:00:00,2028-07-25T15:00:00,America/Los_Angeles,120,True,False,2
HBL40,11,Handball,Long Beach Arena,Long Beach,Semifinal,2028-07-25T13:00:00,2028-07-25T15:00:00,America/Los_Angeles,120,True,False,1
VVO42,11,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-25T13:00:00,2028-07-25T15:30:00,America/Los_Angeles,150,True,False,1
RCB04,11,Rowing Coastal Beach Sprints,Belmont Shore,Long Beach,Final,2028-07-25T14:00:00,2028-07-25T15:20:00,America/Los_Angeles,80,True,False,1
SAL08,11,"Sailing (Dinghy, Skiff & Multihull)",Port of Los Angeles,Port of Los Angeles,Preliminary,2028-07-25T14:00:00,2028-07-25T20:00:00,America/Los_Angeles,360,True,False,6
